tta_inventory_id,tta_element_name_ko,tta_layer,tta_cardinality,c1_semantic,c2_data_model,c3_syntactic,c4_operational_semantic,c5_provenance,c6_quality,c7_access_constraint,mapping_priority,mapping_confidence,conflict_notes,decision_basis,reviewer_notes
TTA-0976-301,파일,file,O,dcat:Distribution,sh:NodeShape (Class container); SHACL: dcat:Distribution 제약 + downloadURL/contentSize 등,ttaap:File → dcat:Distribution,NA,NA,NA,NA,primary,high,"TTA File ≠ dcat:Distribution exactly (File은 raw data, Distribution은 access form). 그러나 의미 가까움","Rule 4 (DCAT v3 우선): dcat:Distribution이 가장 가까움. 후순위: schema:DataDownload, schema:MediaObject, cr:FileObject (Croissant 확장)",Phase C: dcat:downloadURL/contentSize/mediaType 등을 sub-property로 정확 표현 가능
TTA-0976-302,파일 식별자,file,M,dcterms:identifier,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:File_Identifier → dcterms:identifier,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 885 DCMI 참조: dc:identifier 직접 인용,
TTA-0976-303,식별자 유형 (F),file,M,datacite:identifierType,sh:in (IdentifierType CV); sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:File_IdentifierType → datacite:identifierType,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 897-898 DataCite-Property (ID 1.1) 직접 인용,
TTA-0976-304,파일 제목,file,M,dcterms:title,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:File_Title → dcterms:title,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 913 DCMI 참조: dc:title 직접 인용,
TTA-0976-305,제목 유형 (F),file,O,datacite:titleType,sh:in (AlternativeTitle/Subtitle/TranslatedTitle/other); sh:maxCount 1,ttaap:File_TitleType → datacite:titleType,NA,NA,NA,NA,secondary,medium,DCMI에 title-type 직접 대응 없음,"Rule 1: TTA 표준 line 924 DataCite-Property (ID 3.1, titleType) 직접 인용",
TTA-0976-306,파일 생성자,file,M,dcterms:creator,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 1; sh:maxCount 1,ttaap:File_Creator → dcterms:creator,NA,NA,NA,NA,primary,high,(none),"Rule 2: TTA 표준 line 936 DCMI 참조: dc:creator 직접 인용. 후순위: schema:creator, prov:Creator",
TTA-0976-307,파일 발행자,file,M,dcterms:publisher,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 1; sh:maxCount 1,ttaap:File_Publisher → dcterms:publisher,NA,NA,NA,NA,primary,high,(none) — File 계층은 본문/부록 상충 없음,"Rule 2: TTA 표준 line 948 DCMI 참조: dc:publisher 직접 인용. 후순위: schema:publisher, prov:Publisher",
TTA-0976-308,발행연도 (F),file,M,datacite:publicationYear,sh:datatype xsd:gYear; sh:minCount 1; sh:maxCount 1,ttaap:File_PublicationYear → datacite:publicationYear,NA,prov:generatedAtTime (loose; conditional),NA,NA,primary,high,DCMI에 publicationYear 직접 대응 없음,"Rule 1: TTA 표준 line 965 DataCite-Property (ID 5, PublicationYear) 직접 인용. 후순위: dcterms:issued",c5 활성 (loose)
TTA-0976-309,파일 기여자,file,R,datacite:contributor,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 0,ttaap:File_Contributor → datacite:contributor,NA,NA,NA,NA,primary,high,(none),"Rule 1: TTA 표준 line 974 DataCite-Property (ID 7, Contributor) 직접 인용. 후순위: dcterms:contributor, schema:contributor, prov:Contributor",
TTA-0976-310,기여자 유형 (F),file,M,datacite:contributorType,sh:in (ContributorType CV — 22개 값); sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:File_ContributorType → datacite:contributorType,NA,NA,NA,NA,primary,high,TTA의 ContributorType 22개 값 = DataCite와 1:1 일치,"Rule 1: TTA 표준 line 985 DataCite-Property (ID 7.1, contributorType) 직접 인용",
TTA-0976-311,파일 날짜,file,R,dcterms:date,sh:datatype xsd:date OR xsd:dateTime (W3CDTF 권장); sh:minCount 0,ttaap:File_Date → dcterms:date,NA,prov:generatedAtTime (when DateType=Created); prov:invalidatedAtTime (when DateType=Withdrawn); prov:wasRevisionOf (when DateType=Updated) — Decision-Q3 conditional,NA,NA,primary,high,DateType 값에 따라 c5 활성 패턴 다름,Rule 2: TTA 표준 line 998 DCMI 참조: dc:date 직접 인용,c5 활성 — 통제어 매핑 단계에서 정밀화
TTA-0976-312,날짜 유형 (F),file,M,datacite:dateType,sh:in (Created/Updated/...) — DatasetDateType 참조 9개 값; sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:File_DateType → datacite:dateType,NA,NA,NA,NA,primary,high,File DateType은 DatasetDateType 참조 (CV-117 alias),"Rule 1: TTA 표준 line 1015 DataCite-Property (ID 8.1, dateType) 직접 인용",
TTA-0976-313,파일 설명,file,R,dcterms:description,sh:datatype xsd:string; sh:minCount 0,ttaap:File_Description → dcterms:description,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 1027 DCMI 참조: dc:description 직접 인용,
TTA-0976-314,주제 (F),file,R,dcterms:subject,sh:NodeShape (1:N container); sh:property [SubjectScheme/ID/Name]; sh:minCount 0; sh:maxCount unbounded,ttaap:File_Subject → dcterms:subject (★ SKOS Concept 패턴 변환),NA,NA,NA,NA,secondary,medium,★ SKOS Concept 패턴 적용 (3개 layer Subject 모두 동일 패턴),Rule 2: TTA 표준 line 1049 DCMI 참조: dc:subject + re3data ID 13. 1:N 구조 변환 필요,Phase C: SKOS 변환 패턴
TTA-0976-315,주제 체계 (F),file,R,re3data:subjectScheme,sh:datatype xsd:string; sh:minCount 0,ttaap:File_SubjectScheme → re3data:subjectScheme,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 1068 re3data.org property (ID 13) 직접 인용,SKOS 변환 시 skos:inScheme
TTA-0976-316,주제 ID (F),file,R,re3data:subjectID,sh:datatype xsd:string; sh:minCount 0,ttaap:File_SubjectID → re3data:subjectID,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 1078 re3data.org property (ID 13.2) 직접 인용,SKOS 변환 시 skos:notation
TTA-0976-317,주제명 (F),file,M,re3data:subjectName,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:File_SubjectName → re3data:subjectName,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 1088 re3data.org property (ID 13.3) 직접 인용,SKOS 변환 시 skos:prefLabel
TTA-0976-318,파일 연락처,file,R,dcat:contactPoint,sh:datatype xsd:string OR sh:nodeKind sh:IRI (vCard 권장); sh:minCount 0,ttaap:File_Contact → dcat:contactPoint,NA,NA,NA,NA,primary,medium,TTA standard cites N/A — 글로벌 어휘 대응 부재 (3개 Contact 항목 중 하나),Rule 4 (DCAT v3 우선): TTA N/A → schema:contactPoint vs dcat:contactPoint 동률 → DCAT v3 채택,후순위: schema:contactPoint
TTA-0976-319,파일 저작권,file,R,datacite:rights,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 0,ttaap:File_Rights → datacite:rights,NA,NA,NA,dcterms:rights (rights constraint slot active),primary,high,(none),"Rule 1: TTA 표준 line 1111 DataCite-Property (ID 16, Rights) 직접 인용. 후순위: dcterms:rights",c7 활성
TTA-0976-320,파일 키워드,file,O,dcat:keyword,sh:datatype xsd:string; sh:maxCount 1,ttaap:File_Keyword → dcat:keyword,NA,NA,NA,NA,primary,high,TTA standard cites N/A,Rule 4 (DCAT v3 우선): TTA N/A → DCAT v3 채택,후순위: schema:keywords
TTA-0976-321,접근 유형 (F),file,O,re3data:dataAccessType,sh:in (open/embargoed/restricted/closed); sh:maxCount 1,ttaap:File_AccessType → re3data:dataAccessType,NA,NA,NA,dcterms:accessRights,primary,high,File AccessType은 CollectionAccessType alias (CV-115),Rule 1: TTA 표준 line 1134-1135 re3data.org property (ID 22.1) 직접 인용,c7 활성
TTA-0976-322,접근 제한 (F),file,O,re3data:dataAccessRestriction,sh:in (free/feeRequired/registration/institutional membership/non-registration/other); sh:maxCount 1,ttaap:File_AccessRestriction → re3data:dataAccessRestriction,NA,NA,NA,dcterms:accessRights,primary,high,File AccessRestriction은 CollectionAccessRestrictionType alias (CV-116),Rule 1: TTA 표준 line 1149-1150 re3data.org property (ID 22.2) 직접 인용,c7 활성
TTA-0976-323,수록 범위,file,O,dcterms:coverage,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:maxCount 1,ttaap:File_Coverage → dcterms:coverage (★ dual: temporal + spatial),NA,NA,NA,NA,primary,medium,TTA Coverage는 시간·공간 dual-purpose. 글로벌은 dcterms:temporal과 dcterms:spatial로 분리. SHACL 작성 시 sh:or로 둘 중 하나 허용,"Rule 2: TTA 표준 line 1176 DCMI 참조: dc:coverage 직접 인용. 후순위: schema:temporalCoverage, schema:spatialCoverage, dcat:bbox","Phase C: 값 분석으로 자동 분류 (날짜형 → temporal, 지역명 → spatial) 가능"
TTA-0976-324,파일 유형,file,O,dcterms:type,sh:in (FileType CV via DCMI Type Vocabulary: Image/Sound/Text/etc. — 11개 값); sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:maxCount 1,ttaap:File_Type → dcterms:type,NA,NA,NA,NA,primary,high,TTA FileType 통제어 = DCMI Type Vocabulary 11개 값 + 'other' 1개 = 12개,Rule 2: TTA 표준 line 1187 DCMI 참조: dc:type 직접 인용. 통제어는 DCMI Type Vocabulary (INV-6201~6212) 직접 사용,
TTA-0976-325,파일 형식,file,O,dcterms:format,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:maxCount 1,ttaap:File_Format → dcterms:format,NA,NA,NA,NA,primary,high,(none),"Rule 2: TTA 표준 line 1197 DCMI 참조: dcterms:format 직접 인용. 후순위: dcat:mediaType, schema:encodingFormat",
TTA-0976-326,파일 크기,file,O,dcterms:extent,sh:datatype xsd:nonNegativeInteger; sh:minCount 0; sh:maxCount 1,ttaap:File_Size → dcterms:extent,NA,NA,NA,NA,primary,high,(none),"Rule 2: TTA 표준 line 1211 DCMI 참조: dcterms:extent 직접 인용. 후순위: dcat:byteSize, schema:contentSize",
TTA-0976-327,단위,file,O,schema:unitText,sh:datatype xsd:string; sh:in (Byte/Mega Byte/Giga Byte/Tera Byte); sh:maxCount 1,ttaap:File_Unit → schema:unitText,NA,NA,NA,NA,secondary,medium,TTA standard cites N/A. schema:unitText가 의미상 가장 가까움. dcat:byteSize는 단일 단위(byte)만 사용 — 차이,Rule 3 (의미 일치도): TTA N/A → 의미 매칭 → schema:unitText 가장 정확. 후순위: qudt:unit (외부),Phase C: bytes로 정규화 권장 (dcat:byteSize 호환)
